# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 235, mean track length: 2
1 -1.2307118233498175 -0.016560622197656822 7.0799059722182811 142 160 244 0.6468703713332925 6 373 40 5
2 -1.2310261204304302 -0.015149180758664636 7.0819952968316651 92 115 169 0.30477784995109902 6 4 40 222
3 -1.2787045304926123 -0.00058460160808985334 7.0710865497479904 67 114 120 0.26370558599759641 6 383 40 236
4 -1.1708436924651031 0.068267928650721135 7.1280370649033475 182 135 109 0.64365212178762277 6 433 40 297
5 -1.1704963305073222 0.070335257759909453 7.1261393864206335 176 131 102 0.1824274557586566 6 249 40 299
6 -1.1428489020941326 0.087157239629306396 7.1452763943004962 156 93 48 0.89416495877445501 6 470 40 319
7 -1.1432463064850886 0.088583958547687969 7.144026631567189 205 128 72 0.49859563419454306 6 301 40 325
8 -1.137885964987067 0.15877658970735095 7.1477348019604978 180 100 37 0.789464516607425 6 487 40 340
9 -1.1523696028485206 0.16446586009104683 7.1370042068982888 204 142 91 0.027194683474482385 6 491 40 346
10 -1.2165974918485898 -0.0085075050369253814 7.0886909669289695 146 176 214 0.41003978908162764 6 189 40 412
11 -1.2183842202342543 -0.0063536246858193861 7.0838707124572355 141 171 209 0.64516380098304005 6 385 40 416
12 -1.2161236243927545 -0.0064326748763379009 7.0864122592513281 144 174 212 0.30752028227223815 6 386 40 417
13 -1.2822260464641191 0.041972084038511923 7.0730113210556693 72 93 112 0.016336475441787922 6 408 40 470
14 -1.1527315888641372 0.047404335354371149 7.1389520231355243 130 48 10 0.057716015833101708 6 560 40 477
15 -1.1519968022367353 0.051131529013921678 7.1387960865375728 128 49 8 0.49529153121477809 6 709 40 482
16 -1.1573081149752968 0.053501232796516279 7.1370390114853866 163 84 51 0.10077270335325086 6 242 40 484
17 -1.1747988420082947 0.063718821247987598 7.1242140027142558 125 71 41 0.24631866816428988 6 427 40 492
18 -1.176831184504378 0.06758642038884792 7.1245304248792882 109 63 37 0.27569471135000362 6 576 40 498
19 -1.1454238764710254 0.069049851490058212 7.1447827414376697 142 88 52 0.29292439274559545 6 583 40 503
20 -1.1748175785284221 0.071522571295501672 7.1260984055651173 117 72 43 0.38918846341028557 6 436 40 506
21 -1.1748175785284221 0.071522571295501672 7.1260984055651173 117 72 43 0.38918846341028557 6 435 40 507
22 -1.1698921622452458 0.071532872824781685 7.126299033335517 112 67 38 0.18710944970421975 6 437 40 508
23 -1.1795041860622919 0.083258468323300125 7.1188426210699056 135 68 16 0.35710615420059361 6 262 40 515
25 -1.1790810188902356 0.084637379339401575 7.1204294141742377 181 124 81 0.1252185517773077 6 597 40 520
26 -1.1469029656481231 0.08590285415663472 7.1438054585486803 157 89 41 0.79999445792041346 6 612 40 526
27 -1.1469029656481231 0.08590285415663472 7.1438054585486803 157 89 41 0.79999445792041346 6 611 40 527
28 -1.180286300531654 0.088677280682699408 7.1228114684934631 188 131 91 0.40980950654808501 6 460 40 529
29 -1.1481144700354458 0.087881480949670965 7.1428191917340911 220 139 81 0.82302218905153901 6 614 40 531
30 -1.1396674100108393 0.088063930333607154 7.1488644426249079 221 140 85 1.2107520326163004 6 477 40 532
31 -1.1494968014194769 0.15151081972489758 7.1405713804856363 219 132 61 2.6293118308631858 6 627 40 556
32 -1.2767823372160452 -0.00054784765686356762 7.0715108008000653 94 112 126 0.60322679366117204 6 529 40 655
33 -1.2704010978600846 0.0041019126521655153 7.0731173657202788 84 120 149 0.75441760951309567 6 682 40 658
34 -1.2735586750052545 0.007381823029526384 7.072008858361313 107 117 126 0.32925786630256249 6 688 40 665
35 -1.2737853664365169 0.010253099852894174 7.0718469101080954 98 115 133 1.1410482407901923 6 538 40 666
36 -1.1696990314950029 0.065418450858298283 7.1288694585057275 174 127 101 0.24427125432722316 6 573 40 701
37 -1.1489272148818104 0.0698768600799098 7.141656038020507 241 157 95 0.14640402529499619 6 736 40 707
38 -1.1479183187356361 0.071840624412236639 7.141888118779411 150 92 55 0.5469261109343404 6 739 40 712
39 -1.1392455971889301 0.071964292426702978 7.1485657190186691 148 87 46 0.41352643374140829 6 591 40 713
40 -1.1757887497596839 0.073324398577732666 7.1249878825505988 179 134 105 0.13802537026900433 6 588 40 714
41 -1.1702519251700247 0.073315473965930855 7.1302476399841535 181 136 107 0.11569934656232148 6 590 40 715
42 -1.14531690536349 0.073246786518558496 7.1448877187091417 147 89 52 0.40596488543094872 6 742 40 716
43 -1.1420332392332477 0.073197053947269664 7.1476283730027657 153 88 56 0.17014559611726696 6 743 40 717
44 -1.1724767219933931 0.075860122521009307 7.127010915659751 200 129 77 0.26401798189380343 6 744 40 723
45 -1.1702323197653419 0.084862084143815811 7.1281602137641453 183 129 95 0.27106255739780372 6 600 40 733
46 -1.148312027733335 0.084639717789304611 7.1429279325795054 225 156 99 0.43872559115659393 6 758 40 736
47 -1.1741201422114922 0.086901255180806047 7.1260427437379255 123 59 34 0.47192234237412467 6 602 40 739
48 -1.1772906382123414 0.088386662849847253 7.1247449879174907 121 62 20 0.63815745500772803 6 607 40 742
49 -1.1772906382123414 0.088386662849847253 7.1247449879174907 121 62 20 0.63815745500772803 6 608 40 743
51 -1.1527618433428144 0.15840520437156907 7.1374830350028997 178 65 0 0.47283760412417725 6 628 40 763
52 -1.1514189843338449 0.16271312042913438 7.1383809786208481 167 88 32 0.66668069989516809 6 630 40 765
